排名    题号       AC数        题名                                                                            
6       2000       70571      ASCII码排序                                                    
7       1090       68181      A+B for Input-Output Practice (II)                          
8       2003       66871      求绝对值                                                        
9       2002       65835      计算球体积                                                       
10      2004       65406      成绩转换                                                        
11      1091       62496      A+B for Input-Output Practice (III)                         
12      1003       61190      Max Sum                                                     
13      2006       59829      求奇数的乘积                                                      
14      1092       57710      A+B for Input-Output Practice (IV)                          
15      2010       56798      水仙花数                                                        
16      2007       55961      平方和与立方和                                                     
17      2005       55322      第几天？                                                        
18      1093       54135      A+B for Input-Output Practice (V)                           
19      2008       53299      数值统计                                                        
20      2009       52020      求数列的和                                                       
21      2012       50766      素数判定                                                        
22      1094       50734      A+B for Input-Output Practice (VI)                          
23      1004       50377      Let the Balloon Rise                                        
24      1095       50057      A+B for Input-Output Practice (VII)                         
25      1096       49712      A+B for Input-Output Practice (VIII)                        
26      2013       49567      蟠桃记                                                         
27      2011       46612      多项式求和                                                       
28      2017       46441      字符串统计                                                       
29      2014       44949      青年歌手大奖赛_评委会打分                                               
30      1005       44708      Number Sequence                                             
31      2018       43054      母牛的故事                                                       
32      1166       42548      敌兵布阵                                                        
33      1008       41322      Elevator                                                    
34      2016       40367      数据的交换输出                                                     
35      2020       39699      绝对值排序                                                       
36      2019       38736      数列有序!                                                       
37      2015       38504      偶数求和                                                        
38      1010       35108      Tempter of the Bone                                         
39      2021       34599      发工资咯：）                                                      
40      2026       34205      首字母变大写                                                      
41      2037       33056      今年暑假不AC                                                     
42      1108       32495      最小公倍数                                                       
43      1754       32272      I Hate It                                                   
44      2025       31788      查找最大元素                                                      
45      2041       31724      超级楼梯                                                        
46      2033       31294      人见人爱A+B                                                     
47      2544       31101      最短路                                                         
48      1232       30912      畅通工程                                                        
49      2039       30558      三角形                                                         
50      2035       30051      人见人爱A^B                                                     
51      2023       29898      求平均成绩                                                       
52      1021       29477      Fibonacci Again                                             
53      2027       29368      统计元音                                                        
54      2032       29263      杨辉三角                                                        
55      2024       29054      C语言合法标识符                                                    
56      2022       28703      海选女主角                                                       
57      2031       28415      进制转换                                                        
58      1009       28119      FatMouse' Trade                                             
59      2044       28113      一只小蜜蜂...                                                    
60      2602       28034      Bone Collector                                              
61      2084       28002      数塔                                                          
62      1040       27743      As Easy As A+B                                              
63      2046       26665      骨牌铺方格                                                       
64      2028       26200      Lowest Common Multiple Plus                                 
65      2029       26084      Palindromes _easy version                                   
66      2030       26002      汉字统计                                                        
67      1013       25407      Digital Roots                                               
68      2040       25152      亲和数                                                         
69      1042       24884      N!                                                          
70      2042       24295      不容易系列之二                                                     
71      1016       24063      Prime Ring Problem                                          
72      2034       23835      人见人爱A-B                                                     
73      2043       23592      密码                                                          
74      2222       23122      Keywords Search                                             
75      1233       22601      还是畅通工程                                                      
76      2045       22201      不容易系列之(3)―― LELE的RPG难题                                      
77      1061       22126      Rightmost Digit                                             
78      1012       21987      u Calculate e                                               
79      1874       21720      畅通工程续                                                       
80      2050       21688      折线分割平面                                                      
81      2096       21327      小明A+B                                                       
82      1020       21207      Encoding                                                    
83      1019       20858      Least Common Multiple                                       
84      1241       19798      Oil Deposits                                                
85      2081       19448      手机短号                                                        
86      1087       19224      Super Jumping! Jumping! Jumping!                            
87      1159       19105      Common Subsequence                                          
88      2036       19008      改革春风吹满地                                                     
89      1018       18942      Big Number                                                  
90      1176       18646      免费馅饼                                                        
91      1106       18473      排序                                                          
92      2051       18130      Bitset                                                      
93      1257       18096      最少拦截系统                                                      
94      2099       17989      整除的尾数                                                       
95      2098       17905      分拆素数和                                                       
96      2047       17876      阿牛的EOF牛肉串                                                   
97      2089       17545      不要62                                                        
98      2054       17534      A == B ?                                                    
99      2048       17421      神、上帝以及老天爷                                                   
100     1698       17408      Just a Hook                                                 
101     1272       17300      小希的迷宫                                                       
